phase,split_label,condition,metric,paired_n,task_clusters,difference_pp,ci_low_pp,ci_high_pp
round2,Round 2,sail_v3,unsafe_attack_success,2355,20,-10.99787685774947,-23.26077678190354,-2.131216046803176
round2,Round 2,sail_v3,benign_task_complete,2355,20,-7.218683651804671,-18.54389721627409,0.5892255892255892
round3,Round 3,sail_v4,unsafe_attack_success,1521,20,-11.571334648257725,-24.45759368836292,-1.7693315858453473
round3,Round 3,sail_v4,benign_task_complete,1521,20,2.235371466140697,0.12547051442910914,5.793103448275862
